,Unnamed: 0,Company,Revenue,Gross Margin (%),EBITDA Margin (%),Net Profit Margin (%),ROE,ROIC,ROA,Net Debt to EBITDA,D/E,10Y Revenue Growth,10Y Net Income Growth,5Y Revenue Growth,5Y Net Income Growth,3Y Revenue Growth (%),3Y Net Income Growth (%),P/E,EV/EBITDA,P/B,Sector,Market Cap,Price Change (%),Market Capitalisation,Sector Market Cap,year
0,0,PG,74401000000.0,0.4754,0.247,0.1565,0.1664,0.0753,0.5765,1.3482,0.5061,0.0323,0.0603,0.0088,-0.0137,-0.0182,0.006,18.7566,12.9411,3.0391,Consumer Defensive,212661418090.84,-9.323275997445537,15.94127197686677,1334030423666.5952,2014
1,2,KR,98375000000.0,0.2057,0.045,0.0154,0.2821,0.0859,0.1011,2.4703,2.1007,0.1027,0.2272,0.1038,0.0906,0.1399,0.1892,12.034,6.6086,3.3579,Consumer Defensive,18274698937.28,33.11829671550496,1.3698862194650565,1334030423666.5952,2014
2,4,GIS,17909600000.0,0.3557,0.201,0.1019,0.2792,0.1041,0.6265,2.2023,1.3445,0.0704,0.0776,0.0567,0.0841,0.0773,0.0177,18.7034,11.4723,5.1004,Consumer Defensive,33330057253.44,12.897715165910551,2.4984480610143818,1334030423666.5952,2014
3,6,KO,45998000000.0,0.6111,0.256,0.1543,0.2341,0.1004,0.4656,1.7069,1.3768,0.0887,0.0494,0.0938,0.0187,0.0096,-0.0487,26.0617,17.4348,6.0879,Consumer Defensive,184928364569.22,5.339412837835392,13.862379844452322,1334030423666.5952,2014
4,7,WMT,476294000000.0,0.2482,0.07400000000000001,0.0336,0.2101,0.1243,0.146,1.3969999999999998,0.7428,0.0941,0.0897,0.0726,0.0761,0.0809,0.0302,15.2408,8.2364,3.1721,Consumer Defensive,241647485072.4,-26.65370178517993,18.11409101212472,1334030423666.5952,2014
5,8,MDLZ,34244000000.0,0.3679,0.125,0.0638,0.0787,0.0376,0.2885,3.5072,0.6002,0.0081,-0.018000000000000002,-0.0494,-0.0868,0.0019,-0.1354,28.1628,17.7536,2.1993,Consumer Defensive,61031608766.1,23.809817736521,4.5749787773470745,1334030423666.5952,2014
6,14,NWL,5727000000.0,0.3847,0.11900000000000001,0.066,0.2041,0.0776,0.3924,3.3399,1.3406,-0.0003,0.0,0.0121,0.0612,0.0338,0.475,27.8029,18.45,5.6125,Consumer Defensive,10326199000.0,18.603845240198435,0.7740602325708843,1334030423666.5952,2014
7,16,CPB,8268000000.0,0.3593,0.20199999999999999,0.1047,0.5362,0.1186,0.606,2.2693,2.4861,0.0492,0.0572,0.0409,0.0569,0.0632,0.0375,15.3007,10.2217,8.2107,Consumer Defensive,13256605154.23,22.628762719616688,0.9937258490547836,1334030423666.5952,2014
8,17,TGT,71279000000.0,0.298,0.09,0.0277,0.1214,0.0926,0.0782,1.8473,0.7746,0.09300000000000001,0.0457,0.0589,0.0155,0.0642,-0.0838,17.8742,7.2832,2.1589,Consumer Defensive,35023979401.59,-0.8406475611562578,2.625425835891078,1334030423666.5952,2014
9,18,HRL,9316256000.0,0.168,0.114,0.0647,0.1671,0.1373,0.2765,-0.0793,0.0693,0.0743,0.1049,0.0773,0.1234,0.0602,0.0867,23.0395,12.9576,3.8401,Consumer Defensive,13839371363.31,58.66678305832708,1.0374104756376064,1334030423666.5952,2014
10,19,CAG,11838200000.0,0.2473,0.10300000000000001,0.0256,0.0576,0.0431,0.057999999999999996,7.256,1.7013,0.0312,-0.073,0.0036,-0.1994,-0.0246,-0.2887,34.1115,15.7798,1.9669999999999999,Consumer Defensive,10343636363.0864,21.62501550596322,0.7753673514174301,1334030423666.5952,2014
11,20,PEP,66683000000.0,0.5315,0.184,0.0977,0.3705,0.1227,0.3287,1.6472,1.6439,0.0979,0.0561,0.0975,0.0249,0.0155,0.0182,22.4432,13.4687,8.2378,Consumer Defensive,144766700314.6,8.886701373838283,10.851828994777147,1334030423666.5952,2014
12,21,COST,112640000000.0,0.1259,0.038,0.0183,0.1673,0.1816,0.1143,-0.5157,0.414,0.0938,0.0934,0.09300000000000001,0.1339,0.0799,0.1185,25.919,11.849,4.3273,Consumer Defensive,53279224805.76,19.06252433079839,3.99385380277322,1334030423666.5952,2014
13,23,MNST,2464867000.0,0.5436,0.313,0.196,0.3189,1.0822,0.3482,-1.4926,0.0,0.3015,0.3752,0.1832,0.2002,0.151,0.2116,37.6216,22.0525,11.991,Consumer Defensive,18163585395.792,37.72188931205835,1.3615570584866583,1334030423666.5952,2014
14,24,SJM,5610600000.0,0.36200000000000004,0.21100000000000002,0.1007,0.1124,0.0687,0.2945,1.74,0.4407,0.0707,0.0939,0.1126,0.1941,0.0916,0.0966,17.8376,10.1961,1.9931,Consumer Defensive,10024646235.8,25.632152051356968,0.7514555933624936,1334030423666.5952,2014
15,26,ADM,81201000000.0,0.0587,0.054000000000000006,0.0277,0.1145,0.0774,0.1109,-0.1908,0.2883,0.0834,0.1625,0.0293,0.0562,-0.0035,0.0277,15.1163,7.4945,1.7139,Consumer Defensive,33476952912.0,-27.728082300006594,2.5094594784418986,1334030423666.5952,2014
16,28,TAP,4146300000.0,0.3987,0.251,0.124,0.0654,0.0087,0.4894,2.4454,0.4032,-0.0906,0.0049,0.064,-0.0658,0.0565,-0.0874,26.8058,14.2026,1.758,Consumer Defensive,12239223074.64,29.902934797940002,0.9174620651454394,1334030423666.5952,2014
17,29,SYY,46516712000.0,0.1759,0.046,0.02,0.1769,0.1155,0.1479,1.0128,0.5189,0.0564,0.0114,0.0509,-0.0217,0.0579,-0.0681,23.5535,11.2087,4.1708,Consumer Defensive,21892118150.35,5.346119421342533,1.6410508907420045,1334030423666.5952,2014
18,30,CHD,3297600000.0,0.4406,0.225,0.1255,0.1969,0.1169,0.5678,0.8925,0.517,0.0752,0.1562,0.0639,0.1212,0.0833,0.1232,25.7549,15.0725,5.0205,Consumer Defensive,10542776620.05,10.792636011688504,0.7902950662154373,1334030423666.5952,2014
19,31,BG,57161000000.0,0.0459,0.03,0.009000000000000001,0.061,0.0443,0.0515,2.0343,0.6157,0.0558,-0.0179,0.0471,0.0567,0.0071,-0.1817,28.4094,9.7175,1.5628,Consumer Defensive,13199713450.36,-23.422109738587288,0.989461200898287,1334030423666.5952,2014
20,32,PBH,597381000.0,0.5617,0.308,0.1216,0.1289,0.07,0.7090000000000001,4.9277,1.6586,0.056447983870967736,0.05953395161290323,0.1444,0.0,0.1985,0.3407,19.3262,12.6044,2.5187,Consumer Defensive,1411554877.75,49.60767152141679,0.10581129580765693,1334030423666.5952,2014
21,33,BIG,5124755000.0,0.3917,0.062,0.0244,0.139,0.1315,0.1125,0.0265,0.0854,0.1004,0.1208,0.0918,0.0306,0.1018,-0.1005,11.7982,4.7738,1.6658,Consumer Defensive,1501585605.84,-0.2272977358874182,0.11256007203440516,1334030423666.5952,2014
22,34,STZ,4867700000.0,0.4092,0.551,0.3992,0.3901,0.0387,0.7102,2.595,1.4094,0.039,0.2516,0.0903,0.0,0.1787,0.5731,7.7541,8.3398,3.0897,Consumer Defensive,15400713974.34,47.19279042772357,1.154449981133938,1334030423666.5952,2014
23,39,EL,10968800000.0,0.8032,0.20199999999999999,0.1098,0.3124,0.2728,0.2819,-0.1291,0.3484,0.0848,0.1532,0.0877,0.4116,0.083,0.2057,23.8013,12.7,7.3761,Consumer Defensive,28426618317.98,17.930829031832968,2.1308823107533907,1334030423666.5952,2014
24,40,PPC,8583365000.0,0.1624,0.156,0.0829,0.3244,0.4193,0.3034,-0.4266,0.0019,-0.085,0.0361,-0.1911,0.0,-0.0035,0.0,12.2618,6.0891,3.9808,Consumer Defensive,8734458992.76,-17.34460577767767,0.6547421136583421,1334030423666.5952,2014
25,41,DLTR,7840300000.0,0.3558,0.14800000000000002,0.0761,0.5097,0.3313,0.3341,0.4328,0.6576,0.1662,0.1876,0.1714,0.2771,0.1706,0.2181,18.1314,9.3434,8.8307,Consumer Defensive,10338109721.28,9.765462538153752,0.7749530698756936,1334030423666.5952,2014
26,43,DF,9503196000.0,0.1761,0.018000000000000002,-0.0021,-0.0324,0.0027,-0.013000000000000001,5.2093,1.4621,-0.0215,0.0,-0.0489,0.0,-0.0152,0.0,0.0,15.7243,2.9014,Consumer Defensive,1818284759.34,-8.073796827353414,0.13630009684055233,1334030423666.5952,2014
27,49,CASY,7840255000.0,0.1559,0.047,0.0162,0.1803,0.0814,0.0713,2.0085,1.2146,0.1589,0.1625,0.1716,0.1434,0.1111,0.0974,20.8061,9.2541,3.7576,Consumer Defensive,2642588620.42,36.52990079983455,0.1980905812595203,1334030423666.5952,2014
28,50,MGPI,313403000.0,0.0907,0.125,0.0755,0.2268,0.0821,0.2052,0.109,0.0948,0.0042,0.0846,0.0059,0.0,0.0918,0.0,12.0152,7.2685,2.6299,Consumer Defensive,279802913.0,71.62432048613519,0.02097425276336345,1334030423666.5952,2014
29,52,TSN,37580000000.0,0.0714,0.051,0.023,0.0972,0.0439,0.1144,4.0271,0.9199,0.0331,0.0765,0.0814,0.0,0.0732,0.0667,15.6653,11.136,1.665,Consumer Defensive,13663479265.8,34.851487362728164,1.0242254616836846,1334030423666.5952,2014
30,53,MKC,4243200000.0,0.4078,0.16699999999999998,0.0963,0.2258,0.1081,0.4555,1.7085,0.7101,0.0592,0.0776,0.0614,0.0787,0.0564,0.0636,21.9318,15.2132,5.2753,Consumer Defensive,9545067482.06,18.620101774480585,0.7155059819269557,1334030423666.5952,2014
