,Company,Revenue,Gross Margin,EBITDA Margin,Net Profit Margin,returnOnEquity,ROIC,returnOnAssets,Net Debt to EBITDA,Debt to Equity,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),PE ratio,Enterprise Value over EBITDA,priceBookValueRatio,Sector,Market Cap,priceVar,Market Capitalisation,Sector Market Cap,year
0,PG,70749000000.0,0.4762,0.191,0.0995,0.1116,0.069,0.3606,1.3861,0.4813,0.0138,-0.0068,-0.0064,-0.1012,-0.0449,-0.129,31.296,17.085,3.3666,Consumer Defensive,212264774961.6,10.809451225737083,14.662864867819755,1447635075921.981,2015
2,KR,108465000000.0,0.2116,0.047,0.0159,0.3193,0.0948,0.112,2.2363,2.1428,0.1117,0.0,0.1331,1.007,0.1306,0.5114,20.023,8.9942,6.2766,Consumer Defensive,34235483913.28,-15.036503138433735,2.364925006495566,1447635075921.981,2015
4,GIS,17630300000.0,0.3374,0.154,0.0693,0.2444,0.0762,0.4736,3.2662,1.8395,0.0682,0.0202,0.0604,-0.0234,0.0475,-0.0541,27.8663,15.6395,6.7152,Consumer Defensive,33553903735.82,10.69317245001439,2.317842686593507,1447635075921.981,2015
6,KO,44294000000.0,0.6053,0.28,0.166,0.2877,0.0928,0.3861,1.9504,1.7264,0.0774,0.0519,0.0599,-0.0793,-0.0153,-0.0551,25.4201,16.9981,7.2911,Consumer Defensive,186832402301.76,0.9589586364282942,12.906042787252082,1447635075921.981,2015
7,WMT,485651000000.0,0.2483,0.07400000000000001,0.0337,0.201,0.1293,0.1427,1.1403,0.6163,0.0846,0.0771,0.0733,0.0639,0.0523,0.0374,16.9053,8.818,3.3981,Consumer Defensive,276259605900.45,15.72912116448004,19.083511479887544,1447635075921.981,2015
8,MDLZ,29636000000.0,0.3884,0.33,0.2452,0.2594,0.0255,1.1358,1.3851,0.5497,-0.0084,0.1132,0.0068,0.1419,-0.0182,0.3837,9.9866,8.6809,2.5438,Consumer Defensive,71258269982.56,2.9766290907913966,4.922391780067673,1447635075921.981,2015
13,NWL,5915700000.0,0.3896,0.115,0.0592,0.192,0.0698,0.317,4.0946,1.6775,0.0053,0.0356,0.0186,0.0462,0.0511,-0.0193,33.9077,21.4166,6.4902,Consumer Defensive,11773768000.0,4.493916078788673,0.8133104948774077,1447635075921.981,2015
15,CPB,8082000000.0,0.3442,0.168,0.0824,0.4823,0.1003,0.4076,2.8154,2.9558,0.0412,0.0213,0.0279,-0.0297,0.046,-0.0438,23.4178,14.2042,11.1607,Consumer Defensive,15488771618.16,20.44386644702241,1.0699361928830988,1447635075921.981,2015
16,TGT,72618000000.0,0.2939,0.036000000000000004,-0.0225,-0.1169,0.1038,-0.0588,4.0772,0.9091,0.0824,0.0,0.0565,0.0,0.0361,0.0,0.0,22.4155,3.3844,Consumer Defensive,47294605586.25,1.4253391429079385,3.267025396999907,1447635075921.981,2015
17,HRL,9263863000.0,0.1952,0.13,0.0741,0.1716,0.13699999999999998,0.3687,0.073,0.1088,0.0599,0.1091,0.0532,0.1187,0.0394,0.1103,26.0077,14.9474,4.4704,Consumer Defensive,17886631290.36,-8.627693871495469,1.2355759809818248,1447635075921.981,2015
19,CAG,9034000000.0,0.2542,0.063,-0.028,-0.0558,0.0383,-0.0872,13.5099,1.7465,-0.0038,0.0,-0.0474,0.0,-0.1297,0.0,0.0,36.0581,2.8542,Consumer Defensive,12917904901.704,25.94575356766272,0.8923453926036398,1447635075921.981,2015
20,PEP,63056000000.0,0.5444,0.171,0.0865,0.4518,0.1181,0.2504,1.9737,2.758,0.0814,0.0421,0.0337,-0.0136,0.0068,-0.022,27.1375,15.5813,12.1553,Consumer Defensive,146675736228.36,9.051033548138443,10.132093278752865,1447635075921.981,2015
21,COST,116199000000.0,0.1302,0.042,0.0205,0.2239,0.2038,0.152,-0.0589,0.5778,0.09,0.092,0.0827,0.1273,0.0497,0.1113,25.8872,12.7029,5.7896,Consumer Defensive,61550246222.8,1.5097241118151274,4.251779142861636,1447635075921.981,2015
23,MNST,2722564000.0,0.5995,0.339,0.2008,0.1137,0.2042,0.1664,-3.1657,0.0,0.2198,0.2333,0.1438,0.1931,0.0672,0.1394,51.18899999999999,29.572,6.2865,Consumer Defensive,30197517518.3139,-7.842596091439196,2.085989626845804,1447635075921.981,2015
24,SJM,5692700000.0,0.3458,0.153,0.0606,0.0487,0.0304,0.1307,6.9478,0.8707,0.048,0.0437,0.0767,-0.0396,0.0428,-0.0618,34.8108,20.5053,1.6645,Consumer Defensive,11796318737.28,6.861839824054037,0.8148682588232447,1447635075921.981,2015
