,Company,Revenue,Gross Margin (%),EBITDA Margin (%),Net Profit Margin (%),ROE,ROIC,ROA,Net Debt to EBITDA,D/E,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),P/E,EV/EBITDA,P/B,Sector,Market Cap,Price Change (%),Market Capitalisation,Sector Market Cap,year
0,PG,65299000000.0,0.496,0.268,0.1609,0.1812,0.0887,0.4692,0.9853,0.5277,0.0167,0.0408,-0.0333,-0.0136,-0.0568,-0.0147,22.2816,13.859000000000002,3.887,Consumer Defensive,225378997409.55,12.53246293417185,15.243172188910725,1478557052406.134,2016
2,KR,109830000000.0,0.2216,0.051,0.0186,0.299,0.097,0.1233,2.087,1.7711,0.1052,0.123,0.1197,0.1916,0.0785,0.1455,19.1914,9.0006,5.6813,Consumer Defensive,39096130104.15,-17.06825150364822,2.6442084220238105,1478557052406.134,2016
4,GIS,16563100000.0,0.35200000000000004,0.203,0.1025,0.3443,0.0994,0.6367,2.2789,1.7101,0.0541,0.0643,0.0364,0.0027,0.0035,-0.0026,22.1837,13.3701,7.569,Consumer Defensive,37316528555.64,-1.1629418530465272,2.523847726735525,1478557052406.134,2016
6,KO,41863000000.0,0.6067,0.254,0.1559,0.28300000000000003,0.0995,0.3603,2.2109,1.982,0.0658,0.034,-0.0098,-0.0426,-0.0282,-0.0791,27.6821,19.1658,7.7974,Consumer Defensive,180281703588.8,13.45170798502823,12.193084013594067,1478557052406.134,2016
7,WMT,482130000000.0,0.2513,0.069,0.0305,0.1824,0.1166,0.131,1.2428,0.6212,0.0726,0.0549,0.0543,0.0044,0.0267,-0.0311,14.738,7.7421,2.6524,Consumer Defensive,216127793295.0,47.54264341996496,14.617480802873573,1478557052406.134,2016
8,MDLZ,25923000000.0,0.3898,0.142,0.0631,0.065,0.0323,0.7134,4.1926,0.6836,-0.0185,-0.0549,-0.037000000000000005,-0.1205,-0.0587,-0.2202,42.7143,22.9794,2.7529,Consumer Defensive,69266865058.95,-2.718434801211381,4.684761061213591,1478557052406.134,2016
14,NWL,9181100000.0,0.3236,0.155,0.0575,0.0465,0.0063,0.1114,7.9263,1.0479,-0.0036,-0.0112,0.0303,0.2405,0.039,-0.0867,35.936,23.1191,1.9407,Consumer Defensive,21669408000.0,-29.774845168059077,1.4655780759177488,1478557052406.134,2016
16,CPB,7961000000.0,0.3678,0.16,0.0707,0.3692,0.0968,0.3199,2.5448,2.3167,0.0428,-0.0032,0.0329,-0.059,0.0016,0.077,34.0934,17.6011,12.5728,Consumer Defensive,19151548273.55,-18.525900925619133,1.295286390361716,1478557052406.134,2016
17,TGT,73785000000.0,0.292,0.106,0.0456,0.2596,0.1257,0.1258,1.1193,0.9848,0.0702,0.0697,0.0477,0.0583,0.0174,0.0547,13.6131,6.8826,3.4304,Consumer Defensive,44867038756.3,-6.5085601510407125,3.0345152176093237,1478557052406.134,2016
18,HRL,9523224000.0,0.2266,0.153,0.0935,0.2001,0.16399999999999998,0.4275,-0.113,0.0562,0.0561,0.1247,0.0396,0.1357,0.0281,0.191,22.9167,13.8268,4.5766,Consumer Defensive,20374233033.0,5.26619350757967,1.3779808496293013,1478557052406.134,2016
20,CAG,8664100000.0,0.2804,-0.006,-0.0781,-0.1823,0.024,-0.2469,-82.7105,1.4688,0.0006,0.0,-0.081,0.0,-0.1499,0.0,0.0,0.0,4.1794,Consumer Defensive,15520747355.6072,-3.0677614944370037,1.0497225880022327,1478557052406.134,2016
21,PEP,62799000000.0,0.5506,0.194,0.1008,0.5628,0.1419,0.2889,1.7047,3.2852,0.0739,0.025,0.0067,0.0147,0.0042,0.0019,23.8383,13.9939,13.3162,Consumer Defensive,150087263508.0,17.795558028898245,10.15092811357905,1478557052406.134,2016
22,COST,118719000000.0,0.1332,0.042,0.0198,0.1946,0.1674,0.1408,0.0867,0.4273,0.0777,0.086,0.0583,0.0983,0.039,0.0462,30.5933,14.5083,5.9447,Consumer Defensive,71833991020.74,22.66316838650961,4.85838479508388,1478557052406.134,2016
24,MNST,3049393000.0,0.6368,0.3670000000000001,0.2337,0.214,0.2199,0.6279,-0.5338,0.0,0.1654,0.2091,0.0999,0.1749,0.0491,0.2142,37.6364,22.6715,7.7799,Consumer Defensive,26002185925.32,38.97672297575196,1.7586190457111728,1478557052406.134,2016
25,SJM,7811200000.0,0.3799,0.202,0.0882,0.0983,0.0479,0.3464,3.3691,0.7748,0.0583,0.0886,0.0942,0.0684,0.0588,0.0428,22.1282,13.0463,2.1804,Consumer Defensive,15281290530.24,-1.1915330270894524,1.033527282925738,1478557052406.134,2016
27,ADM,62346000000.0,0.058,0.048,0.0205,0.0744,0.0469,0.0725,0.3343,0.4034,0.066,0.0081,-0.0334,-0.0726,-0.0793,0.0232,21.1881,9.1759,1.5566,Consumer Defensive,26577710988.25,-10.533776991628576,1.7975438245686013,1478557052406.134,2016
29,TAP,4885000000.0,0.3861,0.759,0.3263,0.1396,0.0676,0.4529,3.1044,1.0573,-0.038,0.1362,0.0392,0.155,0.0008,0.3436,13.015999999999998,8.2934,1.8404,Consumer Defensive,19241949263.2,-16.152426183637726,1.3014005264042101,1478557052406.134,2016
30,SYY,50366919000.0,0.1795,0.048,0.0189,0.2729,0.1366,0.1,1.4639,2.1369,0.0524,0.0183,0.0556,-0.0334,0.0527,-0.0053,30.8434,13.4763,8.2735,Consumer Defensive,28852018688.0,13.922768317817551,1.9513632322166792,1478557052406.134,2016
32,CHD,3493100000.0,0.4554,0.241,0.1314,0.2321,0.126,1.3362,1.1084,0.5664,0.061,0.1277,0.0715,0.1051,0.0558,0.0779,24.9101,14.7395,5.7479,Consumer Defensive,11466488457.06,14.936454918110226,0.7755188369904277,1478557052406.134,2016
