1	11 Com	b	Radial Velocity	1	326.03	1.29	0.231		19.4	Msini			0	0	0	0	12h20m43.03s	185.179276	+17d47m34.3s	17.792868	110.62	4.740	V (Johnson)		4742.00	2.70	19.00	2014-05-14	11 Com b	0	1	0	0	0	0	1.17000e+01	2452899.600000	94.8000	302.800				19.40000		6165.60000	6165.60000											<a href=http://adsabs.harvard.edu/cg	Mon Jan 01 2007 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Xinglong Station	2.16 m Telescope	Coude Echelle Spectrograph	3	0	24	18	http://exoplanet.eu/catalog/11_com_b	http://exoplanets.org/detail/11_Com_	2008-01	HD 107383	HIP 60202	12.34528503	264.140892	78.280522	177.422388	18.333765	9.04			-108.800	90.500	141.500					5.00	K0 III	2.31	2.243		-0.350	[Fe/H]		1.2000					3	0	1	2	0	3	0	6.540	4.740	5.750			2.943	2.484	2.282	0.639	0.732	2.358	2.270								1.829e+00	1.867e+00	1.184e+00	-9.160e-01	19	0.790	1.010			0.459	0.202	0.661				7
2	11 UMi	b	Radial Velocity	1	516.22	1.54	0.08		10.5	Msini			0	0	0	0	15h17m05.89s	229.274536	+71d49m26.0s	71.823898	119.47	5.016	V (Johnson)	4.723	4340.00	1.80	24.08	2014-05-14	11 UMi b	0	1	0	0	0	0	1.29000e+01	2452861.040000	117.6300	189.700				10.50000		3337.07000	3337.07000											<a href=http://adsabs.harvard.edu/cg	Thu Jan 01 2009 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Thueringer Landessternwarte Tautenbu	2.0 m Alfred Jensch Telescope	Coude Echelle Spectrograph	3	0	20	17	http://exoplanet.eu/catalog/11_umi_b	http://exoplanets.org/detail/11_UMi_	2009-10	HD 136726	HIP 74793	15.28496908	108.718982	41.044516	141.647144	74.958184	8.37	7.47	133.86	6.100	8.300	10.300	4.100	9.500	10.400		5.40	K4 III	1.60			0.040	[Fe/H]	1.560	1.5000					2	0	1	1	0	3	0		5.016	6.385			2.876	2.091	1.939	-0.290	0.143	1.894	1.787								1.339e+00	1.351e+00	1.184e+00	-9.160e-01	17		1.369			0.785	0.152	0.937				5
3	14 And	b	Radial Velocity	1	185.84	0.83	0		4.8	Msini			0	0	0	0	23h31m17.42s	352.822571	+39d14m10.3s	39.236198	76.39				4813.00	2.20	11.00	2014-05-14	14 And b	0	1	0	0	0	0	1.09000e+01	2452861.400000	0.0000	100.000				4.80000		1525.50000	1525.50000											<a href=http://adsabs.harvard.edu/cg	Tue Jan 01 2008 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Okayama Astrophysical Observatory	1.88 m Telescope	HIDES Echelle Spectrograph	3	0	25	21	http://exoplanet.eu/catalog/14_and_b	http://exoplanets.org/detail/14_And_	2008-12	HD 221345	HIP 116076	23.52150472	106.411558	-21.050610	11.962116	38.229937	13.09			287.700	-83.600	299.600					4.80	G8 III	2.63	1.763		-0.240	[Fe/H]		2.6000	0.095				2	0	1	1	0	3	0	7.100		6.240			3.019	2.608	2.331	1.592	2.545	2.719	2.719								2.198e+00	2.317e+00	1.184e+00	-9.160e-01	20	0.860	1.020			0.411	0.277	0.688				7
4	14 Her	b	Radial Velocity	1	1773.4	2.77	0.369		4.64	Msini			0	0	0	0	16h10m24.31s	242.601303	+43d49m03.5s	43.817646	18.15	6.610	V (Johnson)	6.325	5311.00	0.90		2014-05-14	14 Her b	0	1	0	0	0	0	1.53000e+02	2451372.700000	22.6000	90.000				4.64000		1474.67000	1474.67000											<a href=http://adsabs.harvard.edu/cg	Tue Jan 01 2002 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	W. M. Keck Observatory	10 m Keck I Telescope	HIRES Spectrometer	3	0	62	36	http://exoplanet.eu/catalog/14_her_b	http://exoplanets.org/detail/14_Her_	2003-01	HD 145675	HIP 79248	16.17342021	69.170376	46.944999	223.248728	62.879798	55.11	55.93	17.88	132.600	-297.000	325.300	132.600	-298.000	326.200		5.00	K0 V				0.430	[Fe/H]		1.6000	0.161	-5.060			5	0	1	4	0	4	1		6.610	7.490			5.158	4.803	4.714	4.676	4.543	4.721	4.674					4.729e+00	4.624e+00		4.213e+00	3.575e+00	1.184e+00	-9.160e-01	25		0.880			0.355	0.089	0.444	0.537	0.366	0.438	9
5	16 Cyg B	b	Radial Velocity	1	798.5	1.681	0.681		1.68	Msini			0	0	0	0	19h41m51.97s	295.466553	+50d31m03.1s	50.517525	21.41	6.250	V (Johnson)	6.021	5674.00	0.99		2015-09-10	16 Cyg B b	0	1	0	0	0	0	7.85000e+01	2446549.100000	85.8000	50.500				1.68000		533.95440	533.95440						JD					<a href=http://adsabs.harvard.edu/cg	Mon Jan 01 1996 01:00:00 GMT+0100 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Multiple Observatories	Multiple Telescopes	Multiple Instruments	3	0	60	39	http://exoplanet.eu/catalog/16_cyg_b	http://exoplanets.org/detail/16_Cyg_	1997-07	HD 186427	HIP 96901	19.69777018	83.336460	13.204352	321.218050	69.468372		47.12	21.22	-132.000	-163.000	209.700	-134.500	-162.800	211.100	-28.10	4.25	G2.5 V	4.36			0.038	[Fe/H]		2.1800	0.148	-5.080			5	0	1	4	0	4	3	7.070	6.250	6.910			4.993	4.695	4.651	4.773	4.568	4.926	4.713					4.694e+00	4.362e+00						28	0.210	0.660			0.298	0.044	0.342	0.418	0.222	0.351	17
6	18 Del	b	Radial Velocity	1	993.3	2.6	0.08		10.3	Msini			0	0	0	0	20h58m25.94s	314.608063	+10d50m21.4s	10.839286	73.10				4979.00	2.30	8.50	2014-05-14	18 Del b	0	1	0	0	0	0	3.56000e+01	2451672.000000	166.1000	119.400				10.30000		3273.50000	3273.50000											<a href=http://adsabs.harvard.edu/cg	Tue Jan 01 2008 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Okayama Astrophysical Observatory	1.88 m Telescope	HIDES Echelle Spectrograph	3	0	24	19	http://exoplanet.eu/catalog/18_del_b	http://exoplanets.org/detail/18_Del_	2008-06	HD 199665	HIP 103527	20.97387085	58.691434	-21.974824	320.591213	26.786858	13.68			-49.500	-35.100	60.700					4.60	G6 III	2.82	1.602		-0.052	[Fe/H]							2	0	1	1	0	3	0			6.430			4.032	3.440	3.366	3.370	2.931	3.355	3.308								2.911e+00	2.852e+00	1.184e+00	-9.560e-01	17		0.924			0.592	0.074	0.666				5
7	1RXS J160929.1-210524	b	Imaging	1		330			8	Mass			0	0	0	0	16h09m30.30s	242.376268	-21d04m58.9s	-21.083036	145.00				4060.00	0.85		2015-04-01	1RXS J160929.1-210524 b	0	0	1	0	0	0	2.28000e+03				1700		8.00000		3000.00000		3000.00000											<a href=http://adsabs.harvard.edu/cg	Tue Jan 01 2008 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Gemini Observatory	8.19 m Gemini North Telescope	NIRI Camera	3	0	22	7	http://exoplanet.eu/catalog/1rxs1609		2008-12			16.15841787	352.890560	22.030427	244.365684	-0.068410											5.70	K7 V		-0.370				0.005						0	0	0	0	0	3	0						9.820	9.121	8.916	8.794	8.790	8.684	8.531												7					0.699	0.205	0.904				3
8	24 Sex	b	Radial Velocity	2	452.8	1.333	0.09		1.99	Msini			0	0	0	0	10h23m28.37s	155.868210	-00d54m08.1s	-0.902244	74.79	6.441	V (Johnson)		5098.00	1.54	4.90	2014-05-14	24 Sex b	0	1	0	0	0	0	1.78000e+01	2454762.000000	9.2000	40.000				1.99000		632.46000	632.46000											<a href=http://adsabs.harvard.edu/cg	Fri Jan 01 2010 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	17	16	http://exoplanet.eu/catalog/24_sex_b	http://exoplanets.org/detail/24_Sex_	2011-01	HD 90043	HIP 50887	10.39121399	245.085309	44.715734	157.993590	-10.198148	13.37			65.700	-35.100	74.500					5.00	K0 IV	3.50	1.164		-0.030	[Fe/H]	2.700	2.7700					3	0	1	2	0	3	1		6.441	7.399			5.292	4.486	4.285	4.094	3.598	4.254	4.201								3.803e+00	2.555e+00	1.102e+00	-9.160e-01	16		0.958			0.806	0.201	1.007	0.572	0.342	0.427	8
9	24 Sex	c	Radial Velocity	2	883	2.08	0.29		0.86	Msini			0	0	0	0	10h23m28.37s	155.868210	-00d54m08.1s	-0.902244	74.79	6.441	V (Johnson)		5098.00	1.54	4.90	2014-05-14	24 Sex c	0	1	0	0	0	0	2.78000e+01	2454930.000000	220.5000	14.500				0.86000		273.32000	273.32000											<a href=http://adsabs.harvard.edu/cg	Fri Jan 01 2010 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/cg	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	17	16	http://exoplanet.eu/catalog/24_sex_c	http://exoplanets.org/detail/24_Sex_	2011-01	HD 90043	HIP 50887	10.39121399	245.085309	44.715734	157.993590	-10.198148	13.37			65.700	-35.100	74.500					5.00	K0 IV	3.50	1.164		-0.030	[Fe/H]	2.700	2.7700					3	0	1	2	0	3	1		6.441	7.399			5.292	4.486	4.285	4.094	3.598	4.254	4.201								3.803e+00	2.555e+00	1.102e+00	-9.160e-01	16		0.958			0.806	0.201	1.007	0.572	0.342	0.427	8
10	2MASS J01225093-2439505	b	Imaging	1		52			24.5	Mass			0	0	0	0	01h22m50.94s	20.712243	-24d39m50.6s	-24.664049	36.00	14.240	V (Johnson)		3530.00	0.40		2014-05-14	2MASS J01225093-2439505 b	0	0	1	0	0	0	1.44000e+03						24.50000		7786.50000		7786.50000											<a href=http://adsabs.harvard.edu/ab	Tue Jan 01 2013 00:00:00 GMT+0000 (Hora padrão da Europa Ocidental)	<a href=http://adsabs.harvard.edu/ab	Ground	W. M. Keck Observatory	10 m Keck II Telescope	NIRC2 Camera	3	0	7	5	http://exoplanet.eu/catalog/2m_0122-		2013-08			1.38081620	195.448768	-82.520165	8.622413	-30.711243										9.60	6.35	M3.5 V		-1.720				0.120						0	0	0	0	0	3	0		14.240				10.084	9.470	9.198	9.022	8.857	8.747	8.298												8					0.614	0.272	0.886				3
